Heart rate,Timestamp,Date,Time,
105,1574069116948,"Nov 18, 2019",1:25:16 AM,
104,1574069118152,"Nov 18, 2019",1:25:18 AM,
105,1574069119742,"Nov 18, 2019",1:25:19 AM,
105,1574069125308,"Nov 18, 2019",1:25:25 AM,
106,1574069126500,"Nov 18, 2019",1:25:26 AM,
107,1574069128115,"Nov 18, 2019",1:25:28 AM,
105,1574069130078,"Nov 18, 2019",1:25:30 AM,
104,1574069132068,"Nov 18, 2019",1:25:32 AM,
105,1574069133665,"Nov 18, 2019",1:25:33 AM,
104,1574069135244,"Nov 18, 2019",1:25:35 AM,
103,1574069138030,"Nov 18, 2019",1:25:38 AM,
102,1574069142009,"Nov 18, 2019",1:25:42 AM,
103,1574069144065,"Nov 18, 2019",1:25:44 AM,
104,1574069146451,"Nov 18, 2019",1:25:46 AM,
105,1574069147636,"Nov 18, 2019",1:25:47 AM,
106,1574069149225,"Nov 18, 2019",1:25:49 AM,
107,1574069152014,"Nov 18, 2019",1:25:52 AM,
106,1574069155984,"Nov 18, 2019",1:25:55 AM,
98,1574069158345,"Nov 18, 2019",1:25:58 AM,
101,1574069159164,"Nov 18, 2019",1:25:59 AM,
100,1574069160361,"Nov 18, 2019",1:26:00 AM,
68,1574069180558,"Nov 18, 2019",1:26:20 AM,
69,1574069184140,"Nov 18, 2019",1:26:24 AM,
61,1574069231836,"Nov 18, 2019",1:27:11 AM,
77,1574069351955,"Nov 18, 2019",1:29:11 AM,
70,1574069496976,"Nov 18, 2019",1:31:36 AM,
67,1574069499750,"Nov 18, 2019",1:31:39 AM,
72,1574069536321,"Nov 18, 2019",1:32:16 AM,
77,1574069592381,"Nov 18, 2019",1:33:12 AM,
78,1574069593181,"Nov 18, 2019",1:33:13 AM,
88,1574069597615,"Nov 18, 2019",1:33:17 AM,
83,1574069599195,"Nov 18, 2019",1:33:19 AM,
86,1574069599992,"Nov 18, 2019",1:33:19 AM,
87,1574069602703,"Nov 18, 2019",1:33:22 AM,
87,1574069609130,"Nov 18, 2019",1:33:29 AM,
88,1574069609930,"Nov 18, 2019",1:33:29 AM,
89,1574069611125,"Nov 18, 2019",1:33:31 AM,
88,1574069613506,"Nov 18, 2019",1:33:33 AM,
90,1574069616283,"Nov 18, 2019",1:33:36 AM,
91,1574069617073,"Nov 18, 2019",1:33:37 AM,
92,1574069618995,"Nov 18, 2019",1:33:38 AM,
91,1574069619798,"Nov 18, 2019",1:33:39 AM,
92,1574069623765,"Nov 18, 2019",1:33:43 AM,
91,1574069625421,"Nov 18, 2019",1:33:45 AM,
92,1574069626619,"Nov 18, 2019",1:33:46 AM,
91,1574069630194,"Nov 18, 2019",1:33:50 AM,
91,1574069634960,"Nov 18, 2019",1:33:54 AM,
92,1574069639335,"Nov 18, 2019",1:33:59 AM,
93,1574069640528,"Nov 18, 2019",1:34:00 AM,
94,1574069642113,"Nov 18, 2019",1:34:02 AM,
95,1574069644905,"Nov 18, 2019",1:34:04 AM,
96,1574069646496,"Nov 18, 2019",1:34:06 AM,
97,1574069651267,"Nov 18, 2019",1:34:11 AM,
96,1574069652057,"Nov 18, 2019",1:34:12 AM,
95,1574069653264,"Nov 18, 2019",1:34:13 AM,
96,1574069654826,"Nov 18, 2019",1:34:14 AM,
94,1574069656036,"Nov 18, 2019",1:34:16 AM,
96,1574069658027,"Nov 18, 2019",1:34:18 AM,
95,1574069658817,"Nov 18, 2019",1:34:18 AM,
94,1574069661606,"Nov 18, 2019",1:34:21 AM,
94,1574069667173,"Nov 18, 2019",1:34:27 AM,
94,1574069672731,"Nov 18, 2019",1:34:32 AM,
95,1574069675908,"Nov 18, 2019",1:34:35 AM,
72,1574069710889,"Nov 18, 2019",1:35:10 AM,
72,1574069717280,"Nov 18, 2019",1:35:17 AM,
72,1574069722025,"Nov 18, 2019",1:35:22 AM,
97,1574069741104,"Nov 18, 2019",1:35:41 AM,
104,1574069743088,"Nov 18, 2019",1:35:43 AM,
111,1574069743890,"Nov 18, 2019",1:35:43 AM,
111,1574069750246,"Nov 18, 2019",1:35:50 AM,
111,1574069755010,"Nov 18, 2019",1:35:55 AM,
111,1574069761371,"Nov 18, 2019",1:36:01 AM,
111,1574069766145,"Nov 18, 2019",1:36:06 AM,
111,1574069771313,"Nov 18, 2019",1:36:11 AM,
111,1574069776089,"Nov 18, 2019",1:36:16 AM,
112,1574069782440,"Nov 18, 2019",1:36:22 AM,
111,1574069783240,"Nov 18, 2019",1:36:23 AM,
110,1574069786023,"Nov 18, 2019",1:36:26 AM,
109,1574069789199,"Nov 18, 2019",1:36:29 AM,
108,1574069791986,"Nov 18, 2019",1:36:31 AM,
109,1574069794367,"Nov 18, 2019",1:36:34 AM,
110,1574069796361,"Nov 18, 2019",1:36:36 AM,
108,1574069797155,"Nov 18, 2019",1:36:37 AM,
107,1574069799135,"Nov 18, 2019",1:36:39 AM,
108,1574069799931,"Nov 18, 2019",1:36:39 AM,
108,1574069806289,"Nov 18, 2019",1:36:46 AM,
108,1574069811057,"Nov 18, 2019",1:36:51 AM,
108,1574069817422,"Nov 18, 2019",1:36:57 AM,
109,1574069818238,"Nov 18, 2019",1:36:58 AM,
108,1574069820205,"Nov 18, 2019",1:37:00 AM,
108,1574069824973,"Nov 18, 2019",1:37:04 AM,
108,1574069831333,"Nov 18, 2019",1:37:11 AM,
109,1574069834119,"Nov 18, 2019",1:37:14 AM,
110,1574069836104,"Nov 18, 2019",1:37:16 AM,
109,1574069838458,"Nov 18, 2019",1:37:18 AM,
111,1574069838887,"Nov 18, 2019",1:37:18 AM,
110,1574069841274,"Nov 18, 2019",1:37:21 AM,
109,1574069842067,"Nov 18, 2019",1:37:22 AM,
110,1574069843259,"Nov 18, 2019",1:37:23 AM,
109,1574069845248,"Nov 18, 2019",1:37:25 AM,
110,1574069848027,"Nov 18, 2019",1:37:28 AM,
109,1574069848826,"Nov 18, 2019",1:37:28 AM,
108,1574069850813,"Nov 18, 2019",1:37:30 AM,
107,1574069852405,"Nov 18, 2019",1:37:32 AM,
109,1574069853199,"Nov 18, 2019",1:37:33 AM,
107,1574069855184,"Nov 18, 2019",1:37:35 AM,
106,1574069855983,"Nov 18, 2019",1:37:35 AM,
105,1574069857573,"Nov 18, 2019",1:37:37 AM,
107,1574069859490,"Nov 18, 2019",1:37:39 AM,
105,1574069859881,"Nov 18, 2019",1:37:39 AM,
104,1574069862337,"Nov 18, 2019",1:37:42 AM,
106,1574069862670,"Nov 18, 2019",1:37:42 AM,
105,1574069864323,"Nov 18, 2019",1:37:44 AM,
106,1574069867107,"Nov 18, 2019",1:37:47 AM,
107,1574069869893,"Nov 18, 2019",1:37:49 AM,
106,1574069871874,"Nov 18, 2019",1:37:51 AM,
106,1574069876247,"Nov 18, 2019",1:37:56 AM,
107,1574069877049,"Nov 18, 2019",1:37:57 AM,
105,1574069878236,"Nov 18, 2019",1:37:58 AM,
104,1574069882617,"Nov 18, 2019",1:38:02 AM,
103,1574069883799,"Nov 18, 2019",1:38:03 AM,
104,1574069885398,"Nov 18, 2019",1:38:05 AM,
102,1574069886581,"Nov 18, 2019",1:38:06 AM,
104,1574069892552,"Nov 18, 2019",1:38:12 AM,
103,1574069893750,"Nov 18, 2019",1:38:13 AM,
104,1574069894932,"Nov 18, 2019",1:38:14 AM,
102,1574069897324,"Nov 18, 2019",1:38:17 AM,
100,1574069899337,"Nov 18, 2019",1:38:19 AM,
100,1574069904074,"Nov 18, 2019",1:38:24 AM,
99,1574069904871,"Nov 18, 2019",1:38:24 AM,
100,1574069906459,"Nov 18, 2019",1:38:26 AM,
98,1574069907654,"Nov 18, 2019",1:38:27 AM,
